mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
54386196,20,20201,2021,12,0,1,55
54386196,20,20201,2021,12,0,2,119
54386196,20,20201,2021,12,1,0,153
54386196,20,20201,2021,12,1,1,48
54386196,20,20201,2021,12,1,2,103
54386196,20,20201,2021,12,2,0,168
54386196,20,20201,2021,12,2,1,50
54386196,20,20201,2021,12,2,2,107
54386254,20,20201,2021,12,0,0,68
54386254,20,20201,2021,12,0,1,42
54386254,20,20201,2021,12,0,2,43
54386254,20,20201,2021,12,1,0,19
54386254,20,20201,2021,12,1,1,14
54386254,20,20201,2021,12,1,2,44
54386254,20,20201,2021,12,2,0,31
54386254,20,20201,2021,12,2,1,21
54386254,20,20201,2021,12,2,2,44
54386291,20,20201,2021,12,0,0,311
54386291,20,20201,2021,12,0,1,299
54386291,20,20201,2021,12,0,2,302
54386291,20,20201,2021,12,1,0,291
54386291,20,20201,2021,12,1,1,291
54386291,20,20201,2021,12,1,2,291
54386291,20,20201,2021,12,2,0,296
54386291,20,20201,2021,12,2,1,293
54386291,20,20201,2021,12,2,2,294
54386292,20,20201,2021,12,0,0,182
54386292,20,20201,2021,12,0,1,299
54386292,20,20201,2021,12,0,2,205
54386292,20,20201,2021,12,1,0,23
54386292,20,20201,2021,12,1,1,323
54386292,20,20201,2021,12,1,2,164
54386292,20,20201,2021,12,2,0,64
54386292,20,20201,2021,12,2,1,317
54386292,20,20201,2021,12,2,2,175
54387000,20,20201,2021,12,1,0,20
54387000,20,20201,2021,12,1,2,21
54387000,20,20201,2021,12,2,0,16
54387000,20,20201,2021,12,2,2,16
54387004,20,20201,2021,12,0,0,89
54387004,20,20201,2021,12,0,1,25
54387004,20,20201,2021,12,0,2,35
54387004,20,20201,2021,12,1,0,29
54387004,20,20201,2021,12,1,2,13
54387004,20,20201,2021,12,2,0,44
54387004,20,20201,2021,12,2,2,19
54387006,20,20201,2021,12,1,0,57
54387006,20,20201,2021,12,1,2,27
54387006,20,20201,2021,12,2,0,43
54387006,20,20201,2021,12,2,2,22
54387007,20,20201,2021,12,0,0,192
54387007,20,20201,2021,12,0,1,21
54387007,20,20201,2021,12,0,2,75
54387007,20,20201,2021,12,1,0,244
54387007,20,20201,2021,12,1,1,11
54387007,20,20201,2021,12,1,2,97
54387007,20,20201,2021,12,2,0,231
54387007,20,20201,2021,12,2,1,14
54387007,20,20201,2021,12,2,2,92
54387008,20,20201,2021,12,0,0,44
54387008,20,20201,2021,12,0,2,34
54387008,20,20201,2021,12,1,0,43
54387008,20,20201,2021,12,1,1,37
54387008,20,20201,2021,12,1,2,32
54387008,20,20201,2021,12,2,0,43
